1619607333.574203, 	 reno wscale:8,9 rto:224 rtt:22.454/0.646 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:19 ssthresh:17 bytes_sent:422816 bytes_retrans:56472 bytes_acked:338833 segs_out:294 segs_in:139 data_segs_out:292 send 9.8Mbps lastsnd:4 lastrcv:320 lastack:4 pacing_rate 11.8Mbps delivery_rate 9.4Mbps delivered:235 busy:320ms unacked:19 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:534312 minrtt:20.688
1619607333.588428, 	 reno wscale:8,9 rto:224 rtt:23.147/0.678 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 ssthresh:17 bytes_sent:444536 bytes_retrans:56472 bytes_acked:360553 segs_out:309 segs_in:147 data_segs_out:307 send 10.0Mbps lastrcv:336 pacing_rate 12.0Mbps delivery_rate 9.1Mbps delivered:250 busy:336ms unacked:19 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:512592 minrtt:20.688
1619607333.602843, 	 reno wscale:8,9 rto:224 rtt:22.697/0.362 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 ssthresh:17 bytes_sent:461912 bytes_retrans:56472 bytes_acked:376481 segs_out:321 segs_in:153 data_segs_out:319 send 10.2Mbps lastrcv:348 pacing_rate 12.2Mbps delivery_rate 9.6Mbps delivered:261 busy:348ms unacked:20 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:495216 minrtt:20.688
1619607333.618541, 	 reno wscale:8,9 rto:224 rtt:22.821/0.34 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:21 ssthresh:17 bytes_sent:480736 bytes_retrans:56472 bytes_acked:393857 segs_out:334 segs_in:159 data_segs_out:332 send 10.7Mbps lastrcv:364 pacing_rate 12.8Mbps delivery_rate 9.5Mbps delivered:273 busy:364ms unacked:21 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:541552 minrtt:20.688
1619607333.632545, 	 reno wscale:8,9 rto:224 rtt:23.274/0.773 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:21 ssthresh:17 bytes_sent:495216 bytes_retrans:56472 bytes_acked:408337 segs_out:344 segs_in:164 data_segs_out:342 send 10.5Mbps lastrcv:376 pacing_rate 12.5Mbps delivery_rate 9.6Mbps delivered:283 busy:376ms unacked:21 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:527072 minrtt:20.688
1619607333.646727, 	 reno wscale:8,9 rto:228 rtt:24.608/1.527 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:22 ssthresh:17 bytes_sent:512592 bytes_retrans:56472 bytes_acked:424265 segs_out:356 segs_in:170 data_segs_out:354 send 10.4Mbps lastsnd:4 lastrcv:392 lastack:4 pacing_rate 12.4Mbps delivery_rate 9.7Mbps delivered:294 busy:392ms unacked:22 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:509696 minrtt:20.688
1619607333.660805, 	 reno wscale:8,9 rto:228 rtt:25.153/0.929 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:23 ssthresh:17 bytes_sent:532864 bytes_retrans:56472 bytes_acked:444537 segs_out:370 segs_in:177 data_segs_out:368 send 10.6Mbps lastrcv:404 pacing_rate 12.7Mbps delivery_rate 9.9Mbps delivered:308 busy:404ms unacked:22 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:489424 minrtt:20.688
1619607333.674675, 	 reno wscale:8,9 rto:228 rtt:25.437/1.378 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:23 ssthresh:17 bytes_sent:551688 bytes_retrans:56472 bytes_acked:461913 segs_out:383 segs_in:183 data_segs_out:381 send 10.5Mbps lastrcv:420 pacing_rate 12.6Mbps delivery_rate 9.4Mbps delivered:320 busy:420ms unacked:23 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:535760 minrtt:20.688
1619607333.689063, 	 reno wscale:8,9 rto:228 rtt:26.263/1.244 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:24 ssthresh:17 bytes_sent:569064 bytes_retrans:56472 bytes_acked:479289 segs_out:395 segs_in:189 data_segs_out:393 send 10.6Mbps lastrcv:432 pacing_rate 12.7Mbps delivery_rate 9.2Mbps delivered:332 busy:432ms unacked:23 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:518384 minrtt:20.688
1619607333.702800, 	 reno wscale:8,9 rto:228 rtt:26.823/0.901 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:24 ssthresh:17 bytes_sent:586440 bytes_retrans:56472 bytes_acked:495217 segs_out:407 segs_in:195 data_segs_out:405 send 10.4Mbps lastrcv:448 pacing_rate 12.4Mbps delivery_rate 9.8Mbps delivered:343 busy:448ms unacked:24 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:501008 minrtt:20.688
