time	qlen
1619575817.36814	84.0
1619575817.382213	82.0
1619575817.395769	82.0
1619575817.410221	83.0
1619575817.423729	82.0
1619575817.436451	83.0
1619575817.450026	83.0
1619575817.463745	84.0
1619575817.4772	83.0
1619575817.491706	83.0
1619575817.50526	84.0
1619575817.519751	85.0
1619575817.534398	84.0
1619575817.548338	84.0
1619575817.561318	85.0
1619575817.574364	83.0
1619575817.58757	84.0
1619575817.601527	84.0
1619575817.615841	82.0
1619575817.62887	83.0
1619575817.642912	82.0
1619575817.65681	81.0
1619575817.670748	81.0
1619575817.684593	81.0
1619575817.699627	83.0
1619575817.712808	83.0
1619575817.7266	84.0
1619575817.741467	84.0
1619575817.755976	81.0
1619575817.768847	83.0
1619575817.782774	83.0
1619575817.796202	84.0
1619575817.810067	84.0
1619575817.823365	84.0
1619575817.837466	83.0
1619575817.851889	82.0
1619575817.865818	83.0
1619575817.879891	84.0
1619575817.894456	85.0
1619575817.908322	83.0
1619575817.921127	83.0
1619575817.934822	84.0
1619575817.948423	83.0
1619575817.962566	83.0
1619575817.976532	84.0
1619575817.990564	84.0
1619575818.004276	83.0
1619575818.017264	85.0
1619575818.031287	84.0
1619575818.045318	84.0
1619575818.059366	84.0
1619575818.073393	85.0
1619575818.087106	84.0
1619575818.100871	84.0
1619575818.115065	84.0
1619575818.129536	83.0
1619575818.144137	83.0
1619575818.158617	83.0
1619575818.172367	83.0
1619575818.185359	84.0
1619575818.198981	83.0
1619575818.212776	83.0
1619575818.226365	82.0
1619575818.239338	84.0
1619575818.252834	85.0
1619575818.265965	86.0
1619575818.279139	85.0
1619575818.293015	85.0
1619575818.306008	86.0
1619575818.320027	86.0
1619575818.334585	86.0
1619575818.347738	86.0
1619575818.362587	87.0
1619575818.37634	87.0
1619575818.390303	86.0
1619575818.403557	87.0
1619575818.417771	86.0
1619575818.431501	87.0
1619575818.445186	87.0
1619575818.459705	87.0
1619575818.473141	86.0
1619575818.486944	86.0
1619575818.500857	86.0
1619575818.51461	85.0
1619575818.528107	85.0
1619575818.542528	85.0
1619575818.556515	85.0
1619575818.57071	85.0
1619575818.584647	84.0
1619575818.597692	86.0
1619575818.611219	86.0
1619575818.625224	86.0
1619575818.639032	88.0
1619575818.652976	87.0
1619575818.665904	86.0
1619575818.678575	87.0
1619575818.692179	86.0
1619575818.705104	87.0
1619575818.719197	85.0
1619575818.733548	85.0
1619575818.747589	84.0
1619575818.760935	84.0
1619575818.774474	80.0
1619575818.787975	80.0
1619575818.801287	79.0
1619575818.814758	77.0
1619575818.828723	78.0
1619575818.842252	79.0
1619575818.856459	78.0
1619575818.870489	77.0
1619575818.883834	77.0
1619575818.899574	78.0
1619575818.913387	75.0
1619575818.927153	77.0
1619575818.940611	75.0
1619575818.954915	77.0
1619575818.96865	76.0
1619575818.981739	76.0
1619575818.99525	76.0
1619575819.009256	76.0
1619575819.023026	77.0
1619575819.037278	76.0
1619575819.051092	76.0
1619575819.065189	76.0
1619575819.079138	75.0
1619575819.093121	76.0
1619575819.107583	76.0
1619575819.121473	75.0
1619575819.135729	75.0
1619575819.149934	76.0
1619575819.164367	75.0
1619575819.178506	75.0
1619575819.192737	76.0
1619575819.207454	76.0
1619575819.221526	76.0
1619575819.235637	77.0
1619575819.249711	77.0
1619575819.263545	77.0
1619575819.277947	76.0
1619575819.29168	78.0
1619575819.30596	78.0
1619575819.320332	77.0
1619575819.334706	76.0
1619575819.34957	77.0
1619575819.363163	78.0
